"Merk & Model";"Bouwjaar";"Uitvoering";"Kenteken";"APK tot";"Brandstof";"Kilometerstand";"Transmissie";"Verbruik";"Prijs";"Topsnelheid";"Kosten p/m";"Opties";"Aantal deuren";"Wegenbelasting";"Reparaties en onderhoud";"Banden";"Brandstof verbruik / maand";"Totale kosten per maand";"Per jaar";"APK vervaldatum";"Aantal eigenaren tot en met nu";"Nieuwprijs vanaf";"Gemiddeld brandstof verbruik";"Remmen voor";"Remmen achter";"url"
"Citroen DS3";"2013";"1.2 VTi Chic";"58-ZRG-6";"29 januari 2021";"Benzine";"110.500 km";"Handgeschakeld 5 versnellingen";"22,22";"5.250,00";"174 km/h";"153,61";"Emergencybrakeassist , CruiseControl , Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Start-stop-systeem , Elektrischeramen , ABS , Mistlampen , ElectronicStabilityProgram(ESP) , Airbags , Radio";"3";"35,33";"37,50";"10,11";"70,66";"153,61";"1.843,32";"29 januari 2021";"3";"19.690,00";"22,22";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/citroen/m1364833527-citroen-ds3-1-2-vti-chic.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Peugeot 208";"2014";"1.0 VTI 50KW Access";"7-XGF-95";;"Benzine";"110.008 km";"Handgeschakeld 5 versnellingen";"24,39";"6.945,00";"163 km/h";"131,96";"CruiseControl , Startonderbreker , Boordcomputer , Centralevergrendeling , Airconditioning , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio , Metalliclak";"3";"27,33";"34,25";"6,00";"64,38";"131,96";"1.583,52";;"1";"15.590,00";"24,39";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/peugeot/m1357247544-peugeot-208-1-0-vti-50kw-access-bj-2014.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Peugeot 208";"2014";"1.0 VTi Access 1E EIGENAAR 58.000KM N.A.P !";"1-TDP-07";;"Benzine";"58.267 km";"Handgeschakeld 5 versnellingen";"24,39";"6.750,00";"163 km/h";"131,96";"CruiseControl , Startonderbreker , Boordcomputer , Centralevergrendeling , Airconditioning , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Radio , Metalliclak";"3";"27,33";"34,25";"6,00";"64,38";"131,96";"1.583,52";;"1";"15.060,00";"24,39";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/peugeot/m1361941217-peugeot-208-1-0-vti-access-1e-eigenaar-58-000km-n-a-p.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Alfa Romeo MiTo";"2012";"0.9 TwinAir Business Executive/Full Option";"86-ZKS-3";;"Benzine";"127.344 km";"Handgeschakeld 6 versnellingen";"23,81";"6.995,00";"174 km/h";"159,10";"CruiseControl , Startonderbreker , Elektrischebuitenspiegels , Parkeersensor , Elektrischeramen , ElectronicStabilityProgram(ESP) , Alarm , Lichtmetalenvelgen , Metalliclak , Emergencybrakeassist , Bekledingleder , Boordcomputer , Climatecontrol , Centralevergrendeling , Airconditioning , Traction-control , ABS , Mistlampen , Airbags , Radio";"3";"43,33";"39,75";"10,11";"65,90";"159,10";"1.909,20";;"2";"19.225,00";"23,81";"Schijfrem";"Schijfrem";"https://www.marktplaats.nl/a/auto-s/alfa-romeo/m1357389979-alfa-romeo-mito-0-9-twinair-business-executive-full-option.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Peugeot 108";"2016";"1.0 e-VTi Access Peugeot Dealer OH, NAP, 6 Mnd Garantie";"KF-161-F";"18 augustus 2020";"Benzine";"39.339 km";"Handgeschakeld 5 versnellingen";"26,32";"6.795,00";"160 km/h";"103,79";"Startonderbreker , Boordcomputer , Start-stop-systeem , ABS , ElectronicStabilityProgram(ESP) , Airbags , Metalliclak";"3";"20,67";"19,25";"5,38";"58,49";"103,79";"1.245,48";"18 augustus 2020";"1";"11.630,00";"26,32";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/peugeot/m1359929180-peugeot-108-1-0-e-vti-access-peugeot-dealer-oh-nap-6-mnd-g.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Peugeot 108";"2015";"1.0evti active";"GK-923-K";"29 juni 2019";"Benzine";"14.053 km";"Handgeschakeld 5 versnellingen";"26,32";"6.900,00";"160 km/h";"117,34";"Boordcomputer , Centralevergrendeling , Traction-control , Elektrischeramen , ABS , Airbags , Radio";"3";"20,67";"31,88";"5,12";"59,67";"117,34";"1.408,08";"29 juni 2019";"2";"11.600,00";"26,32";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/peugeot/m1359760299-peugeot-108-1-0evti-active.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Alfa Romeo MiTo";"2012";"0.9 TwinAir Distinctive (bj 2012) 6-Bak Lmv";"85-XZT-5";"05 oktober 2020";"Benzine";"110.143 km";"Handgeschakeld 6 versnellingen";"23,81";"6.900,00";"174 km/h";"159,10";"Emergencybrakeassist , Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Traction-control , Verwarmdebuitenspiegels , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Radio , Lichtmetalenvelgen";"3";"43,33";"39,75";"10,11";"65,90";"159,10";"1.909,20";"05 oktober 2020";"3";"19.212,00";"23,81";"Schijfrem";"Schijfrem";"https://www.marktplaats.nl/a/auto-s/alfa-romeo/m1357267299-alfa-romeo-mito-0-9-twinair-distinctive-bj-2012-6-bak-lmv.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
;;;;;;;;;;;;;;;;;;;;;;;;;;"https://www.marktplaats.nl/a/auto-s/volkswagen/m1363368064-volkswagen-polo-1-0-mpi-44kw-3d-bmt-2015-blauw.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Suzuki Swift";"2008";"1.3 Bandit";"-";;"Benzine";"94.546 km";"Handgeschakeld";"21,28";"4.950,00";"-";"-";"Emergencybrakeassist , Startonderbreker , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Sportstoelen , Elektrischeramen , ABS , Mistlampen , Airbags , Radio , Lichtmetalenvelgen , Metalliclak";;;;;;;;;;;;;;"https://www.marktplaats.nl/a/auto-s/suzuki/m1356239877-suzuki-swift-1-3-bandit.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Citroen C3";"2013";"1.0 I 50KW";"2-KZN-60";"27 augustus 2019";"Benzine";"80.545 km";"Handgeschakeld 5 versnellingen";"24,39";"6.850,00";"163 km/h";"133,34";"Emergencybrakeassist , CruiseControl , Bluetooth , Startonderbreker , Boordcomputer , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Sportstoelen , Elektrischeramen , ABS , Mistlampen , Panoramadak , Airbags , Isofix , Alarm , Radio , Metalliclak";"5";"27,33";"35,75";"5,88";"64,38";"133,34";"1.600,08";"27 augustus 2019";"3";"15.055,00";"24,39";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/citroen/m1363003761-citroen-c3-1-0-vti-2013-i-nap-i-airco-i-led-i-bluetooth-i.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
